carat;cut;color;clarity;depth;table;price;x;y;z
0.41;Very Good;E;VVS1;61.2;62;1184;4.76;4.78;2.92
0.8;Premium;E;SI1;61.2;60;2912;5.97;5.95;3.65
0.5;Ideal;F;VVS2;61.6;56;2160;5.11;5.08;3.14
2.07;Premium;E;SI1;61.2;58;16957;8.24;8.19;5.03
1.24;Premium;D;SI2;59.9;59;5382;7.01;6.95;4.18
1.7;Very Good;E;SI2;63.3;57;12030;7.59;7.51;4.78
0.41;Premium;G;VS2;61.6;58;827;4.73;4.78;2.93
0.34;Premium;H;VS2;61.1;58;689;4.5;4.47;2.74
1.37;Ideal;G;VS1;62.2;55;10927;7.09;7.12;4.42
0.4;Very Good;E;VVS2;62.8;58;1066;4.68;4.71;2.95
0.72;Very Good;I;SI1;59.8;58;2026;5.84;5.87;3.5
1.12;Very Good;G;SI2;60.2;59;4852;6.7;6.85;4.08
1.16;Ideal;I;VS2;61.5;57;5207;6.75;6.78;4.16
0.7;Fair;G;SI1;63.1;57;2150;5.64;5.58;3.54
0.9;Good;H;SI2;63.4;60;3160;6.03;6.08;3.84
1.04;Ideal;E;SI2;62;55;4804;6.48;6.51;4.03
0.23;Very Good;E;VVS2;61.1;58;505;3.93;3.99;2.42
0.7;Ideal;D;SI2;62.6;57;2373;5.63;5.68;3.54
0.76;Ideal;H;SI2;61.7;56;2404;5.88;5.86;3.62
0.4;Ideal;G;VVS1;61.6;57;1123;4.75;4.76;2.93
0.57;Ideal;E;SI1;61.8;57;1728;5.33;5.28;3.28
1;Fair;H;SI2;66.1;56;2856;6.21;5.97;4.04
0.3;Very Good;J;VS1;63.4;55;506;4.3;4.25;2.71
0.72;Ideal;F;VVS1;61.7;56;3795;5.73;5.77;3.55
0.47;Ideal;J;SI1;61.9;55;740;5;5.05;3.11
0.52;Good;F;SI2;58.7;64;1350;5.24;5.26;3.08
0.41;Premium;H;SI1;60.9;60;683;4.79;4.83;2.93
0.32;Very Good;D;VVS2;61.1;59;804;4.39;4.42;2.69
0.32;Ideal;G;VVS1;61.4;57;814;4.39;4.41;2.7
0.3;Very Good;D;VS1;62.1;58;742;4.25;4.29;2.65
0.34;Premium;G;VVS2;61.4;59;995;4.52;4.47;2.76
0.7;Fair;G;SI1;61.7;66;2352;5.7;5.58;3.48
1;Good;E;VS2;61.5;62;6073;6.37;6.42;3.93
0.75;Ideal;H;SI1;62.1;57;2165;5.82;5.78;3.6
2.01;Good;H;VS1;57.6;63;18340;8.23;8.25;4.75
1.3;Premium;J;SI1;61.5;58;5176;7.02;6.97;4.3
0.42;Ideal;G;VVS2;60.7;55;1103;4.89;4.86;2.96
2.03;Premium;J;SI2;61.6;58;12380;8.15;8.12;5.01
0.51;Ideal;H;VS2;60.9;56.4;1365;5.15;5.18;3.15
1.5;Very Good;F;VS1;61.6;58;15022;7.35;7.43;4.55
1.54;Premium;I;SI1;60.8;61;8969;7.48;7.41;4.53
1.22;Premium;H;VS1;63;59;6661;6.8;6.73;4.26
0.59;Premium;H;SI1;62.9;60;1265;5.34;5.24;3.33
0.39;Ideal;F;VVS1;61.7;55;1124;4.69;4.71;2.9
0.43;Ideal;I;SI1;62.2;54;670;4.84;4.87;3.02
1.24;Premium;D;SI2;60.6;59;4916;6.99;6.96;4.23
2.19;Very Good;I;SI2;60.3;60;15907;8.29;8.33;5.01
1;Ideal;F;SI1;61.9;56;5197;6.36;6.41;3.95
0.43;Very Good;H;VVS1;60.2;55;1220;4.92;4.95;2.97
0.31;Ideal;H;VVS1;61.6;57;846;4.35;4.32;2.67
0.32;Ideal;E;VS2;61.4;56;900;4.43;4.4;2.71
0.8;Good;H;VS2;63.4;60;2845;5.92;5.82;3.72
1.51;Very Good;G;VS2;58.9;60;12756;7.47;7.55;4.42
0.3;Good;G;VS2;58.5;64;515;4.42;4.37;2.57
0.94;Premium;G;SI1;61.3;61;4159;6.33;6.27;3.86
1.04;Ideal;I;SI1;61.7;55;4836;6.5;6.54;4.02
0.51;Ideal;D;VVS1;61.7;56;2797;5.12;5.16;3.17
0.7;Good;F;SI1;59.7;64;2337;5.71;5.74;3.42
0.58;Ideal;F;VVS2;61.8;56;2395;5.36;5.39;3.32
0.38;Very Good;D;VS2;58.8;61;871;4.71;4.74;2.78
1.55;Ideal;G;SI2;60.7;55;9704;7.54;7.51;4.57
1;Premium;H;SI2;62.8;60;3080;6.46;6.34;4.02
0.6;Premium;E;SI1;60;57;1698;5.52;5.48;3.3
1.27;Ideal;J;VS2;61.6;56.1;5606;6.94;7;4.29
0.31;Premium;G;SI1;62.4;55;593;4.34;4.31;2.7
0.4;Good;F;IF;63.5;58;1404;4.69;4.7;2.98
1.96;Fair;F;I1;66.6;60;5554;7.59;7.56;5.04
0.9;Premium;D;SI2;58.1;60;3312;6.26;6.24;3.63
0.34;Premium;H;VS1;62.1;58;596;4.46;4.49;2.78
0.36;Very Good;H;SI1;59.3;60;518;4.62;4.65;2.75
0.25;Very Good;F;VVS1;64.2;58;548;3.96;4.01;2.56
0.4;Ideal;E;VS2;62.6;56;949;4.67;4.69;2.93
0.28;Very Good;E;VVS1;61.1;60;646;4.17;4.21;2.56
1.7;Ideal;H;SI1;61.2;57;9139;7.71;7.68;4.71
0.41;Very Good;J;VS1;61.8;56;693;4.75;4.79;2.95
0.54;Premium;D;SI1;60.2;62;1720;5.31;5.25;3.18
0.55;Ideal;E;VS2;62.2;54;1741;5.29;5.26;3.28
1.11;Good;E;SI1;61.4;57.5;6178;6.62;6.66;4.08
0.41;Ideal;D;SI1;61.8;58;1399;4.73;4.79;2.94
0.34;Ideal;D;VS1;61.2;58;787;4.45;4.5;2.74
0.3;Ideal;F;VS1;62;55;844;4.34;4.3;2.68
1;Premium;E;VS1;60.4;59;7744;6.51;6.54;3.94
0.41;Very Good;F;VS1;61.5;57;974;4.77;4.81;2.95
1.08;Ideal;G;SI2;61.9;57;4627;6.57;6.55;4.06
0.92;Ideal;H;SI1;60.5;57;4325;6.27;6.32;3.81
0.7;Very Good;H;VVS1;63.5;58;2682;5.63;5.59;3.56
1.5;Ideal;G;VVS2;62.2;55;16948;7.33;7.35;4.57
1.5;Premium;D;VS2;61.8;60;15102;7.3;7.37;4.53
1.5;Very Good;H;SI1;61.4;57;9035;7.27;7.33;4.48
0.38;Ideal;F;IF;60.7;57;1212;4.69;4.73;2.86
1.06;Ideal;I;VS1;61.1;56;5702;6.59;6.61;4.03
0.4;Premium;D;SI2;61.7;58;666;4.69;4.74;2.91
0.75;Fair;J;VS1;61.9;67;1869;5.8;5.7;3.56
0.57;Very Good;G;SI1;63.4;57;1369;5.26;5.21;3.32
1.5;Premium;H;SI2;61.4;62;7187;7.4;7.25;4.49
0.3;Very Good;G;VS1;62.5;59;629;4.32;4.25;2.68
1.11;Very Good;D;VVS1;62.5;58;12200;6.67;6.6;4.15
0.41;Premium;H;SI1;61.8;59;984;4.81;4.77;2.96
0.3;Ideal;E;VVS2;60.8;56;949;4.35;4.37;2.65
0.5;Premium;D;SI2;62.9;58;997;5.06;5.01;3.17
0.3;Very Good;H;VS1;60.4;61;526;4.27;4.31;2.59
